,Imóvel,Preço,Quartos,Área,Casas de banhos
270,T3 Maia Vermoim,Venda 235.000 €,,104 m2 ,- 
271,Moradia V4 Vila Nova de Gaia,Venda 237.500 €,,274 m2 ,- 
272,Moradias t4 Jovim,Venda 240.000 €,,280 m2 ,- 
273,T2 Duplex Cedofeita,Venda 242.000 €,,87 m2 ,- 
274,"T2 Novos Paranhos com terraço ou Varanda, Ao Hospital São João",Venda 242.500 €,,91 m2 ,- 
275,T1 Kitchenette à Rotunda Boavista,Venda 245.000 €,,62 m2 ,- 
276,T3 Dúplex Porto,Venda 248.000 €,,154 m2 ,- 
277,Loja Maia,Venda 249.000 €,,188 m2 ,- 
278,T2 Vila Nova de Gaia,Venda 250.000 €,,52 m2 ,- 
279,Terreno com vistas Douro,Venda 250.000 €,,2.000 m2 ,- 
280,Terreno para construção de Armazém,Venda 250.000 €,,953 m2 ,- 
281,Loja open space Marques,Venda 252.800 €,,395 m2 ,- 
282,Loja Lordelo do Ouro,Venda 260.000 €,,150 m2 ,- 
283,Loja ou Armazém Centro Porto retoma de Banco,Venda 260.000 €,,240 m2 ,- 
284,T1Novo com Jardim Cedofeita,Venda 260.000 €,,42 m2 ,- 
285,Lojas Centro da Maia,Venda 260.000 €,,129 m2 ,- 
286,T3 Matosinhos Sul,Venda 265.000 €,,110 m2 ,- 
287,T3 Bonfim,Venda 265.000 €,,158 m2 ,- 
288,Loja para Restauração ou Clinica Lavra,Venda 265.100 €,,283 m2 ,- 
289,"Loja Foz, Porto",Venda 274.000 €,,118 m2 ,- 
290,Moradia 4 frentes Águas Santas,Venda 275.000 €,,281 m2 ,- 
291,Moradia Gueifães,Venda 275.000 €,,200 m2 ,- 
292,Moradia T3 Águas Santas,Venda 279.000 €,,287 m2 ,- 
293,T4 Novo Centro da Maia,Venda 280.000 €,,165 m2 ,- 
294,TERRENO Povoa Do Varzim,Venda 283.700 €,,- ,- 
295,Loja com mezzanine  Porto Campo Alegre Renovada,Venda 288.750 €,,146 m2 ,- 
296,T3 Novo Lavra,Venda 292.300 €,,113 m2 ,- 
297,T3 de Luxo Maia - condominio de pretigio,Venda 295.000 €,,150 m2 ,- 
298,Andar Moradia  T3 Novo Perafita,Venda 295.000 €,,115 m2 ,- 
299,Loja de 2 pisos Vila Nova de Gaia,Venda 302.000 €,,204 m2 ,- 
300,Moradia T5 Vila Nova da Telha,Venda 305.000 €,,346 m2 ,3 
301,T3 Póvoa de Varzim,Venda 305.000 €,,100 m2 ,- 
302,T2+1 Matosinhos,Venda 315.000 €,,124 m2 ,- 
303,T2 Av. da Boavista,Venda 315.000 €,,135 m2 ,- 
304,Moradia na Maia,Venda 315.000 €,,336 m2 ,- 
305,"Moradia V4 Sra. da Hora, Metro",Venda 320.000 €,,220 m2 ,- 
306,T2 Dúplex Novo Cedofeita,Venda 320.000 €,,93 m2 ,- 
307,Venda Armazém,Venda 325.000 €,,1.462 m2 ,- 
308,Loja em 2 pisos com duas frentes,Venda 325.000 €,,1.082 m2 ,- 
309,Armazém -Leça do Balio saida da Via Norte,Venda 325.000 €,,785 m2 ,- 
310,Moradia V4 Terrea Lavra,Venda 325.000 €,,250 m2 ,- 
311,Loja ao Marquês,Venda 328.800 €,,385 m2 ,- 
312,T2 Novo com Jardim Cedofeita,Venda 330.000 €,,98 m2 ,- 
313,T3 Novo Paranhos Novo - Polo Universitario,Venda 330.500 €,,137 m2 ,- 
314,Moradia V3 Folgosa,Venda 335.000 €,,351 m2 ,- 
315,Terreno para construção de Moradia,Venda 337.500 €,,869 m2 ,- 
316,Armazém  com 3 pisos e logradouro,Venda 339.000 €,,1.743 m2 ,- 
317,Terreno para construção em altura Maia,Venda 340.000 €,,352 m2 ,2 
318,Venda Terreno,Venda 345.000 €,,408 m2 ,- 
319,"Moradia V3 Moreira, Maia",Venda 345.000 €,,414 m2 ,- 
320,Moradia   4 frentes Labruge,Venda 345.000 €,,270 m2 ,- 
321,Andar Moradia  T3+2 Novo Perafita,Venda 345.000 €,,150 m2 ,- 
322,Loja para comercio e serviços próximo Rio Douro,Venda 348.000 €,,248 m2 ,- 
323,Armazém Industrial Paredes com logradouro,Venda 348.400 €,,1.166 m2 ,- 
324,T4 de luxo em condominio fechado,Venda 349.000 €,,152 m2 ,- 
325,Moradia V4 Moreira Maia,Venda 349.500 €,,200 m2 ,
326,Moradia T4+1 Castêlo da Maia,Venda 350.000 €,,312 m2 ,
327,Terreno para 72 lotes Águas Santas,Venda 357.300 €,,30.000 m2 ,
328,Terreno p/ construção de Edifício na Maia - Chantre,Venda 365.000 €,,457 m2 ,
329,Moradia T4 Milheirós,Venda 371.525 €,,240 m2 ,
330,Restaurante em Vila Nova de Gaia,Venda 373.000 €,,209 m2 ,
331,Loja junto à casa da Musica com terraço e jardim,Venda 375.000 €,,380 m2 ,
332,Moradia T3 Leça do Balio,Venda 380.000 €,,500 m2 ,
333,"Loja Lustosa, Lousada",Venda 385.000 €,,1.077 m2 ,
334,T3 Novo Lavra,Venda 389.580 €,,175 m2 ,
335,Moradia T4 Chantre,Venda 390.000 €,,450 m2 ,
336,Moradia 4 frentes Alfena,Venda 390.000 €,,360 m2 ,
337,"T2 Ribeira, Porto",Venda 390.000 €,,108 m2 ,
338,T3 Boavista,Venda 395.000 €,,110 m2 ,
339,Venda Terreno,Venda 400.000 €,,0 m2 ,
340,Venda Armazém,Venda 400.000 €,,1.300 m2 ,
341,"T4 Lavra, Praia - Condominio Fechado",Venda 400.000 €,,230 m2 ,
342,Moradias com projecto p/reconstruir e ampliar em Miragaia,Venda 410.000 €,,294 m2 ,
343,T4 Lordelo do Ouro,Venda 415.000 €,,171 m2 ,
344,T3 Recuado Leça da Palmeira,Venda 425.000 €,,150 m2 ,
345,Loja Porto Com dois pisos e ampla montra.,Venda 430.000 €,,305 m2 ,
346,Terreno Leça da Palmeira,Venda 450.000 €,,1.273 m2 ,
347,Loja multiusos 2 pisos Porto Centro,Venda 453.000 €,,1.079 m2 ,
348,T3 Recuado Novo Matosinhos,Venda 455.000 €,,142 m2 ,
349,Venda Armazém,Venda 460.000 €,,600 m2 ,
350,Moradia V9 Paranhos,Venda 465.000 €,,188 m2 ,
351,Venda Armazém,Venda 470.000 €,,700 m2 ,
352,Terreno Custóias,Venda 470.000 €,,2.500 m2 ,
353,Armazém industrial em Ermesinde em Excelente estado de conservação.,Venda 475.000 €,,700 m2 ,
354,T3 Recuado Novo Lavra,Venda 485.000 €,,163 m2 ,
355,Terreno Castêlo da Maia,Venda 490.000 €,,17.100 m2 ,
356,Excelente T3 Dúplex Boavista,Venda 499.500 €,,150 m2 ,
357,Terreno Francelos,Venda 500.000 €,,4.540 m2 ,
358,Loja com dois pisos junto ao Marques,Venda 502.300 €,,496 m2 ,
359,Armazém Industrial em Rio Tinto,Venda 517.000 €,,1.922 m2 ,
360,Moradia T4 Custóias,Venda 525.000 €,,350 m2 ,
361,T4 Novo com Terraço Paranhos - Hospital São João,Venda 529.500 €,,187 m2 ,
362,Loja Maia Centro Clinica ou Serviços,Venda 543.000 €,,419 m2 ,
363,T4 à Rotunda Boavista,Venda 545.000 €,,153 m2 ,
364,Conjunto de 8 estudios junto ao Ismai,Venda 550.000 €,,254 m2 ,
365,T4 à Rotunda Boavista,Venda 555.000 €,,153 m2 ,
366,Moradia T3 de Luxo Canidelo,Venda 560.000 €,,238 m2 ,
367,Escritório Avenida da Boavista,Venda 567.000 €,,403 m2 ,
368,"Armazém Industrial Campo, Valongo",Venda 580.000 €,,1.461 m2 ,
369,Escritório Vila Nova de Gaia,Venda 594.000 €,,585 m2 ,
370,Moradia V4 Lavra,Venda 599.000 €,,360 m2 ,
371,Armazem industrial Vila Nova de Gaia,Venda 625.000 €,,3.526 m2 ,
372,Terrenos em Madalena para construção,Venda 627.000 €,,31.000 m2 ,
373,Terreno em  Campanha.,Venda 637.488 €,,8.503 m2 ,
374,Terreno - Baguim do Monte - Hab. plurifamiliar,Venda 675.000 €,,2.947 m2 ,
375,Terreno - Baguim do Monte - Hab. plurifamiliar,Venda 675.000 €,,2.157 m2 ,
376,Venda Loja,Venda 688.000 €,,1.100 m2 ,
377,Venda Terreno,Venda 700.000 €,,7.500 m2 ,
378,Armazém Industrial em Mosteiró,Venda 700.000 €,,2.409 m2 ,
379,Armazém Freixieiro,Venda 715.000 €,,1.000 m2 ,
380,Quinta em Vairão Vila de Conde,Venda 745.000 €,,617 m2 ,
381,Quinta Luxo Maia,Venda 750.000 €,,447 m2 ,
382,Mansão 4 frentes Malta/Canidelo,Venda 767.000 €,,1.120 m2 ,
383,Terreno Águas Santas,Venda 770.000 €,,16.827 m2 ,
384,Armazém Industrial Maia,Venda 800.000 €,,6.469 m2 ,
385,Terreno  em Águas Santas,Venda 800.000 €,,60.000 m2 ,
386,Venda Armazém,Venda 820.000 €,,2.000 m2 ,
387,Espaço multiusos Porto,Venda 900.000 €,,702 m2 ,
388,Terreno Maia Centro,Venda 900.000 €,,5.900 m2 ,
389,Quinta de Luxo com Vistas para o Douro,Venda 950.000 €,,429 m2 ,
390,Escritório Avenida Da Boavista,Venda 980.000 €,,477 m2 ,
391,Venda Armazém,Venda 1.000.000 €,,1.300 m2 ,
392,Venda Armazém,Venda 1.000.000 €,,2.300 m2 ,
393,Quinta Fabulosa Vale de Cambra,Venda 1.000.000 €,,250 m2 ,
394,T5 de Luxo na Marginal Rio Douro,Venda 1.050.000 €,,290 m2 ,
395,Armazém industrial Aeroporto,Venda 1.050.000 €,,1.447 m2 ,
396,Solar Sec XVI com terreno 60000 m2 em Sernancelhe,Venda 1.070.000 €,,1.050 m2 ,
397,"Terreno em  Aves, Monte da Barca",Venda 1.082.600 €,,45.833 m2 ,
398,Venda Terreno,Venda 1.100.000 €,,7.800 m2 ,
399,Armazém industrial com área exterior,Venda 1.155.000 €,,3.025 m2 ,
400,T4+1 Duplex com piscina na Marginal Rio Douro,Venda 1.200.000 €,,277 m2 ,
401,Espaço Multiusos Centro Matosinhos,Venda 1.220.000 €,,538 m2 ,
402,Quinta / Herdade em Oliveira do Douro,Venda 1.290.000 €,,700 m2 ,
403,Armazém industrial Maia,Venda 1.550.000 €,,4.660 m2 ,
404,Moradia T4 Foz do Douro,Venda 1.650.000 €,,402 m2 ,
405,Terreno Rústico ao Aeroporto,Venda 1.716.000 €,,24.523 m2 ,
406,"Terreno Madalena, V. N. Gaia",Venda 2.000.000 €,,- ,
407,"Unidade Fabril com vários armazéns e zona administrativa em Nogueira, Maia",Venda 2.200.000 €,,6.160 m2 ,
408,Escritórios Paranhos com 2 pisos e lugares de garagem,Venda 2.200.000 €,,2.335 m2 ,
409,Armazém com escritórios e lougradouro,Venda 2.200.000 €,,4.320 m2 ,
410,Loteamento Antas zona Premium,Venda 2.900.000 €,,869 m2 ,
411,Venda Terreno,Venda 3.000.000 €,,0 m2 ,
412,"Quinta de charme Vila do Conde, com grande área exterior",Venda 3.450.000 €,,1.430 m2 ,
413,Terreno Rústico ao Aeroporto,Venda 5.542.600 €,,79.180 m2 ,
414,Residência Sénior,Venda 9.000.000 €,,7.258 m2 ,
415,Terreno Leça do Balio,Venda Preço sob consulta,,580 m2 ,
416,Armazém Leça do Balio,Arrendamento Preço sob consulta,,751 m2 ,
417,Escritório Porto,Arrendamento Preço sob consulta,,312 m2 ,
